group_site_sp.code;pheno_study.num_transect_run;pheno_tree.num_pheno_tree;yl_index;ml_index;fl_index;urf_index;rf_index;fruit_ground_quantity;yl_nb_estimation;ml_nb_estimation;fl_nb_estimation;urf_nb_estimation;rf_nb_estimation;id_vocabulary_fruit_ground_maturity;comment
SBL;KP55;CAF-K01;;;;;;;;;;;;;
SBL;KP55;COA-K01;;;;;;;;;;;;;
SBL;KP55;FBR-K05;;;;;;;;;;;;;
SBL;KP55;FDA-K02;;;;;;;;;;;;;
SBL;KP55;CNP-K05;;;;;;;;;;;;;
SBL;KP55;APH-K04;;;;;;;;;;;;;
SBL;KP55;PAF-K01;;;;;;;;;;;;;
SBL;KP55;FVA-K01;;;;;;;;;;;;;
SBL;PP55;CDU-P01;;;;;;;;;;;;;
SBL;PP55;DEG-P01;;;;;;;;;;;;;
SBL;PP55;FCP-P01;;;;;;;;;;;;;
SBL;PP55;FEX-P01;;;;;;;;;;;;;
SBL;PP55;PHY-P01;;;;;;;;;;;;;
SBL;PP55;LNC-P01;;;;;;;;;;;;;
SBL;PP55;FCP-P02;;;;;;;;;;;;;
SBL;PP55;CDU-P02;;;;;;;;;;;;;
SBL;PP55;FCP-P03;;;;;;;;;;;;;
SBL;PP55;FCP-P04;;;;;;;;;;;;;
SBL;PP55;FNA-P01;;;;;;;;;;;;;
SBL;PP55;FCP-P05;;;;;;;;;;;;;
SBL;PP55;CDU-P03;;;;;;;;;;;;;
SBL;PP55;MMS-P01;;;;;;;;;;;;;
SBL;PP55;TEC-P01;;;;;;;;;;;;;
SBL;PP55;PAR-P01;;;;;;;;;;;;;
SBL;PP55;CAF-P01;;;;;;;;;;;;;
SBL;PP55;FBR-P01;;;;;;;;;;;;;
SBL;PP55;MYR-P01;;;;;;;;;;;;;
SBL;PP55;CHT-P01;;;;;;;;;;;;;
SBL;PP55;CYB-P01;;;;;;;;;;;;;
SBL;PP55;EUA-P01;;;;;;;;;;;;;
SBL;PP55;DEG-P02;;;;;;;;;;;;;
SBL;PP55;FCP-P06;;;;;;;;;;;;;
SBL;PP55;CHT-P02;;;;;;;;;;;;;
SBL;PP55;CRP-P01;;;;;;;;;;;;;
SBL;PP55;APH-P01;;;;;;;;;;;;;
SBL;PP55;TEC-P02;;;;;;;;;;;;;
SBL;PP55;LNC-P02;;;;;;;;;;;;;
SBL;PP55;FEX-P02;;;;;;;;;;;;;
SBL;PP55;FNA-P02;;;;;;;;;;;;;
SBL;PP55;EUA-P02;;;;;;;;;;;;;
SBL;PP55;LNC-P03;;;;;;;;;;;;;
SBL;PP55;BOS-P01;;;;;;;;;;;;;
SBL;PP55;MMS-P02;;;;;;;;;;;;;
SBL;PP55;TEC-P03;;;;;;;;;;;;;
SBL;PP55;CHT-P03;;;;;;;;;;;;;
SBL;PP55;CNP-P01;;;;;;;;;;;;;
SBL;PP55;ANI-P01;;;;;;;;;;;;;
SBL;PP55;CHR-P01;;;;;;;;;;;;;
SBL;PP55;BOS-P02;;;;;;;;;;;;;
SBL;PP55;FBR-P02;;;;;;;;;;;;;
SBL;PP55;OLW-P01;;;;;;;;;;;;;
